,N,Q_1 [lb/h],proportion_%
/record_575,1137,5,0.43975373790677225
/record_576,2967,12,0.40444893832153694
/record_577,3253,90,2.766676913618199
/record_578,3436,22,0.6402793946449359
/record_579,2980,92,3.087248322147651
/record_58,2460,2,0.08130081300813008
/record_580,2265,10,0.44150110375275936
/record_581,3159,47,1.48781259892371
/record_582,2535,4,0.15779092702169625
/record_583,2296,20,0.8710801393728222
/record_584,2218,33,1.4878268710550047
/record_585,568,17,2.992957746478873
/record_586,1276,35,2.74294670846395
/record_587,1793,17,0.9481316229782488
/record_588,2082,56,2.689721421709894
/record_589,3634,95,2.6141992294991745
/record_59,2872,1,0.034818941504178275
/record_590,3569,57,1.5970860184925748
/record_591,1804,41,2.272727272727273
/record_592,1285,40,3.11284046692607
/record_593,2254,57,2.528837622005324
/record_594,2629,84,3.195131228604032
/record_595,3004,24,0.7989347536617843
/record_596,4292,140,3.2618825722273996
/record_597,2356,4,0.1697792869269949
/record_598,1917,59,3.077725612936881
/record_599,3651,42,1.1503697617091209
/record_60,2171,6,0.2763703362505758
/record_600,4192,68,1.6221374045801527
/record_601,2760,39,1.4130434782608696
/record_602,2457,15,0.6105006105006106
/record_603,1709,10,0.5851375073142189
/record_604,2862,41,1.43256464011181
/record_606,1439,31,2.1542738012508686
/record_607,4658,22,0.47230571060541005
/record_608,2338,82,3.507271171941831
/record_609,2066,6,0.29041626331074544
/record_61,2215,104,4.695259593679458
/record_610,1786,67,3.7513997760358344
/record_611,2959,28,0.9462656302805001
/record_612,2427,0,0.0
/record_613,2523,8,0.3170828378913991
/record_614,2732,1,0.036603221083455345
/record_615,3213,103,3.2057267351384997
/record_616,3297,57,1.7288444040036397
/record_617,1207,17,1.4084507042253522
/record_618,2065,0,0.0
/record_619,2747,16,0.5824535857298871
/record_62,1807,0,0.0
/record_620,3093,53,1.713546718396379
/record_621,107,0,0.0
/record_622,1197,6,0.5012531328320802
/record_623,2706,4,0.14781966001478197
/record_624,2768,0,0.0
/record_625,3849,13,0.33775006495193555
/record_626,3249,73,2.2468451831332716
/record_627,1686,22,1.3048635824436536
/record_628,2019,44,2.1792966815255075
/record_629,2056,55,2.6750972762645913
/record_63,3700,10,0.2702702702702703
/record_630,2075,3,0.14457831325301204
/record_631,2065,0,0.0
/record_632,3261,31,0.9506286415210058
/record_633,2754,10,0.36310820624546114
/record_634,5818,78,1.340666895840495
/record_635,2312,45,1.9463667820069204
/record_636,1269,0,0.0
/record_637,1951,7,0.35879036391594055
/record_638,2720,14,0.5147058823529411
/record_639,3530,63,1.7847025495750706
/record_64,4063,2,0.04922471080482402
/record_640,3101,27,0.8706868752015479
/record_641,1057,46,4.351939451277199
/record_642,1313,21,1.5993907083015995
/record_643,2914,20,0.6863417982155113
/record_644,3498,41,1.1720983419096627
/record_646,2435,58,2.381930184804928
/record_647,2107,23,1.0915994304698624
/record_648,2072,1,0.04826254826254826
/record_649,1286,10,0.7776049766718507
/record_65,3450,0,0.0
/record_650,1814,0,0.0
/record_651,1612,1,0.062034739454094295
/record_652,1435,3,0.20905923344947736
/record_653,1194,100,8.375209380234507
/record_654,3157,90,2.8508077288565095
/record_655,818,88,10.757946210268948
/record_656,1147,6,0.5231037489102005
/record_657,1550,16,1.032258064516129
/record_658,2113,31,1.4671083767155704
/record_659,2005,43,2.144638403990025
/record_66,1402,50,3.566333808844508
/record_660,2325,8,0.34408602150537637
/record_661,2052,9,0.43859649122807015
/record_662,3754,183,4.87480021310602
/record_663,3944,57,1.445233265720081
/record_664,4548,19,0.4177660510114336
/record_665,3346,5,0.14943215780035865
