vol,N1_moy,ALT_moy,TAT_moy,M_moy,Q_moy
633,103.44295020758656,19625.233804936182,-14.504125329976288,0.42062374929414736,8407.619954137921
634,108.64492708229275,23943.667797609418,-13.248506013320318,0.49491936228688527,8926.530550073236
635,105.54530649674179,10702.088126001376,-3.5507699614917447,0.359962274557783,11071.448086747227
636,107.53256550108928,20727.157645248164,-14.025857236198824,0.4605727496375838,9433.670224667867
637,102.03800056355078,20158.706709111204,-8.852063139187498,0.4634354798968531,8063.551979493734
638,107.93082467474287,23953.27611294193,-17.720641538531407,0.49513360669621337,8869.459372143208
639,107.06442839735593,23532.6133074127,-20.404979868243117,0.487865873728211,8836.543725274827
640,108.22773176732423,24671.89063802064,-17.996942616312502,0.49661953601666675,8740.391831510931
641,107.34220776243325,19939.898531546944,-16.059431251275093,0.4473942757193308,9543.732697872852
642,107.30109909045461,21594.40834319999,-16.45813948433234,0.46945525522904197,9179.397390733526
643,106.6516043391863,20064.88242046928,-18.52885552596697,0.4545165751298405,9419.922328640774
644,103.6805427100508,20844.17002645552,-15.615537721196414,0.4604683928710504,8408.729635560525
645,107.5778216160283,22025.462927962537,-19.996808456488903,0.45194231088679243,9054.113035290238
646,104.81108013429535,21698.231163022647,-17.12877550337089,0.4701997477470986,8530.768736741935
647,106.4532668381972,18280.312025147534,-15.14482292759188,0.44324183725,9826.631734097413
648,108.38848025903938,22203.180631952273,-10.397384814648522,0.4793095279408034,9210.31336144635
649,104.97293154278259,17860.04178880691,-12.239821234817715,0.43614618475609757,9411.565413370834
650,105.35168575021473,18061.13293618099,-10.284217132580096,0.4392011050940534,9443.64041139303
651,102.93806464591576,17703.24893084126,-12.626408114813373,0.4428002196313953,9067.528668838511
652,105.59407842092645,19175.076558994264,-13.343169875174125,0.45206415210700385,9419.2585912635
653,106.51672914081519,22509.485691421996,-16.363948427817494,0.4868320047801954,8750.028190269257
654,108.46440785698648,21322.525141745376,-9.98778431118786,0.4685698668468208,9444.694994219144
655,107.15182113883257,23799.49848571,-17.169680006046917,0.4951596613611825,8624.796894180901
656,108.40348851658489,21979.023100416907,-10.212631746787617,0.4755946606598746,9332.012028213945
657,104.47492492656234,19893.401369824132,-18.623241396899324,0.42663299711538466,8651.085752323412
658,107.12880538812574,21959.29681006674,-18.649575033431862,0.4636081919920466,9074.801016217094
659,106.8638530708713,18790.49585123028,-6.0592710052743755,0.4388094188775,9374.89122151017
660,106.75502810126467,22383.76143242993,-18.736328352576088,0.4818895109906833,8944.323101447586
661,106.54182854663881,21180.05037951605,-20.76353144203583,0.46922466462,9240.47132934559
662,106.76581092094457,20012.489016252668,-16.984426950539092,0.44441325754161415,9373.292987692883
663,101.09912819731596,20607.337496441512,-16.971872939817217,0.47621603956839625,8018.428564969427
664,107.62593117601321,24264.951139155128,-18.59288939503238,0.5103967226544865,8825.510214191156
665,103.44086806340306,19847.42902163439,-22.385146120030637,0.45803697523030645,8811.27126305284
666,103.11657737030833,19368.53029442679,-20.316834649405774,0.4515291460107868,8838.036334554983
667,103.68784590791877,18741.107901659834,-22.35341374363603,0.43835146228125005,9048.080708875284
668,104.12741316507865,18593.851582132407,-18.66977136615808,0.43198913034484776,9064.3116656329
669,106.71874593160985,20022.931375462587,-7.461448668723713,0.4540075068679907,9271.341441107448
670,99.684587968503,18149.36254513163,-20.756313062305768,0.4396565782793136,8179.768206505066
671,104.62646068062529,20481.060180126864,-19.81251868519984,0.46338509653662424,8859.142646182938
672,107.43099686021637,24422.780231243538,-22.123712690040207,0.4929911012271172,8627.511309167767
673,106.21678151729643,21962.44275721211,-22.799836545065766,0.47408147289738806,9059.118273913693
674,103.52003252984204,20553.871910507547,-21.704992153364092,0.46337727719079574,8602.247562428687
