vol,duree_montee_s,altitude_debut_ft,altitude_fin_ft,effort_total_lb
607,3101,13.909921644,40575.241435548,5173.865538628024
608,1057,278.19843288,35952.510809192,2487.6471130890277
609,1313,37.093124384,34770.167469452,2720.0409191537356
610,2914,46.36640548,38247.647880452,4675.291535883636
611,3498,176.19234082399998,39397.534736356,5598.529480250092
613,2435,51.003046028,37097.761024548,4301.5869784322185
614,2107,74.186248768,38243.011239904,3736.362024385262
615,2072,194.738903016,39337.258409231996,3796.1991361985356
616,1286,46.36640548,34760.894188356,2613.8198766735745
617,3450,78.822889316,39411.444658,5106.188058698757
618,1814,806.775455352,38252.284521,3416.8396455503325
619,1612,-46.36640548,8081.664475164,2709.6601032874933
620,1435,185.46562192,38252.284521,2883.171120166093
621,1194,-46.36640548,34774.80411,2560.806231816201
622,3157,217.922105756,40565.968154452,5106.139921365735
623,818,176.19234082399998,35929.327606451996,2195.862668974828
624,1147,139.09921644,39416.081298548,2658.528628151289
625,1550,769.682330968,40570.604795,3190.3775623472875
626,2113,-23.18320274,40565.968154452,3938.3318325466
627,2005,102.006092056,39420.717939096,3778.8095246442576
628,1402,-4.636640548,33601.734051356,2862.03281380271
629,2325,83.459529864,38261.557802096,3895.345194157755
630,2052,143.735856988,39406.808017452,3594.8502996331845
631,3754,148.372497536,44038.811924904,6047.142948484041
632,3944,92.73281096,39397.534736356,6072.593156452889
633,4548,129.825935344,40565.968154452,7252.305607728421
634,3346,-37.093124384,41739.038213096,5612.936984023643
635,4838,653.766317268,40561.331513904,7409.792909877247
636,2468,27.819843288,35938.600887548,4364.124594628039
637,1160,78.822889316,35943.237528096,2572.220796909095
638,1096,9.273281096,34774.80411,2278.502435440728
639,1106,115.9160137,34765.530828904,2485.986375099761
640,2189,69.54960822,41729.764932,4035.750963683647
641,2614,208.64882466,40565.968154452,4354.272085991715
642,2148,278.19843288,40552.058232808,3857.8221430669328
643,2214,194.738903016,41697.308448163996,3951.2410618298345
644,1884,120.552654248,35933.964246999996,3411.6347964173046
645,2013,51.003046028,37093.124384,3577.0202314817534
646,3373,111.279373152,37102.397665095996,5364.509835762559
647,4785,732.589206584,40575.241435548,7563.033295820191
648,424,23.18320274,22265.147911496,1300.8909665590209
649,1903,69.54960822,38252.284521,3588.7669441725006
650,2742,-18.546562192,40565.968154452,4406.058228857022
651,3885,278.19843288,40570.604795,6401.643116926242
652,3638,-13.909921644,41729.764932,6346.978361546207
653,3633,157.645778632,41725.128291452,5727.721658048458
654,807,880.96170412,35873.687919876,2136.6176463577276
655,3315,241.105308496,38247.647880452,5576.422410059637
656,4201,92.73281096,37083.851102904,6353.296386505375
657,3804,-4.636640548,39416.081298548,5986.714950907919
658,3716,204.012184112,38247.647880452,5555.1866255968835
659,2154,171.555700276,39411.444658,3809.7582194775696
660,702,217.922105756,34218.40724424,1913.3603061006377
661,2412,204.012184112,39411.444658,4182.326735869663
662,1648,41.729764932,34774.80411,3152.414054659312
663,1628,774.318971516,33615.643973,3208.1775446655797
664,1699,-18.546562192,33615.643973,3180.7669438094013
665,1109,78.822889316,34774.80411,2450.710134027751
