vol,duree_s,alt_debut_ft,alt_fin_ft,TAS_moy_ms,Vz_moy_ms,gamma_moy_deg,rho_moy,D_moy_N,F_moy_N,E_meca_GJ,conso_kg,eta,rend_Jkg,TSFC,delta_atmo_K
90,3616,1052.517404396,40584.514716644,182.52554835209818,3.332598787941859,1.4113353152908426,0.3842364385291822,-59.706746457850564,31959.39703025026,5.21273071082048,2730.7881512831605,0.044186899922564554,1908874.0766547888,4.3497091154624194e-05,10.09311613404112
91,3541,-37.093124384,40552.058232808,176.28949627251066,3.5044108429124794,1.579823734829605,0.38681861656392597,289.0712893280303,35942.17009569965,5.23375913165323,2688.2123825474787,0.04506780511010923,1946929.1807567189,4.182959987347551e-05,8.722002261297952
92,2206,282.835073428,40570.604795,171.0519275883144,5.568297196275503,2.4201356106161014,0.4522257515032752,176.04774698294787,32641.35456198454,5.050050354319625,1889.8129057986075,0.06185761214706001,2672248.8447529925,4.2612994417048425e-05,11.759475518952925
93,2402,111.279373152,39411.444658,174.60836843869689,4.976698871545308,2.132959348253432,0.423617561495402,1032.002686702001,35842.44421188835,5.002674958414752,1962.2212681357332,0.05901610738550262,2549495.8390537133,4.3555776354747e-05,13.5664697058334
94,2570,208.64882466,40561.331513904,175.12540953392977,4.791279098789715,2.1439677009855793,0.4112730026086881,-196.3339797658327,35266.82603455634,5.048647145311188,2085.0195065859994,0.056050714009264015,2421390.845200205,4.2466073170361124e-05,11.10696277602979
95,3042,222.558746304,39411.444658,172.66383081493737,3.9330991377096023,1.6833309497461633,0.3964011325623848,687.848349528056,38188.69078109519,5.052991011388137,2273.331760493754,0.051451964273559844,2222724.8566177855,3.76446501123515e-05,11.975381112387367
96,2565,-18.546562192,40565.968154452,171.89859193833362,4.7943632389418465,2.0611903833440817,0.43718608320311636,-104.50101275580171,33541.735623101915,5.150291315035002,2083.6475883454705,0.05721682833190516,2471766.983938303,4.3664867718662914e-05,8.44252187706745
97,2066,125.189294796,41725.128291452,172.23810844748397,6.153772184239152,2.640778129502068,0.426326319685818,604.0159296003001,38203.634596328164,5.2534877338292905,1740.6460728761406,0.06986400868742995,3018125.1752969734,4.311403264811289e-05,8.45771325991711
98,3463,273.561792332,38261.557802096,174.95357489065432,3.3457119114504486,1.4592210025451204,0.41990530272237353,-245.9774526601186,33650.40027786764,4.8123860769145,2523.951610380987,0.044136276383558305,1906687.1397697185,4.1125698826429155e-05,8.829420463474861
99,802,153.009138084,31770.261034896,132.5269778351547,12.097014626918918,5.713905046308475,0.7390352166891884,822.2647087677199,40109.40018532337,3.9058521611765165,911.4100664830963,0.09920149864106804,4285504.74129414,3.0188464158052078e-05,10.73953956073826
100,2217,185.46562192,39411.444658,168.60405107422167,5.398548524128991,2.3981510784991946,0.4528953620478612,-318.84886260395297,38877.51545102403,4.871926353135728,1786.1357453771666,0.06313969880572474,2727634.9884073087,3.53473764482138e-05,5.859351189555524
101,2901,-27.819843288,40589.151357192,179.76852449535508,4.290660774854852,1.8695079526727334,0.40101929930842856,-375.5219035417769,34003.50916338404,5.136691982358838,2346.0612022771215,0.050682781371447744,2189496.1552465423,4.3199473871479875e-05,14.0196110062133
102,3187,143.735856988,39443.901141836,177.04191348583083,3.769937751128862,1.6275448982754765,0.3944586827195631,1006.6744779196089,39371.755388087586,5.143859301784022,2380.494262156077,0.05001936743299722,2160836.6731054797,3.847474728139106e-05,9.925471550838916
103,4561,319.928197812,37088.487743452,183.26770099810122,2.465994580258904,1.0727502332570653,0.3992941488300278,-648.2496877281989,35308.076119806115,4.779593605441537,3322.046801056642,0.03330438958039707,1438749.6298731535,3.80357760914229e-05,13.984398988718118
104,4536,2244.134025232,38243.011239904,177.7574814778691,2.4175276700994557,1.013492657579991,0.39301199154206345,1147.1096918499936,34104.66785772651,4.851230140095062,3308.3476837632643,0.03394352852779473,1466360.4324007325,4.318165012863108e-05,14.101747446740081
